Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2010,29,BA,NE,290690,2906907,Caravelas,4,2010,1914,20,21414,93.4,93.4,24.95 ,16.9 ,53.25,9.9,47,11,18,9,1,20.5,29.24933646,1171.890703,0.694379576,0.525843101
BA-2010,29,BA,NE,290700,2907004,Cardeal da Silva,4,2010,1915,1,8899,11.2,11.2,23.01 ,23.5 ,46.23,14.3,67,2,4,4,1,30.2,29.25532347,1357.092179,0.722989335,0.546469166
BA-2010,29,BA,NE,290710,2907103,Carinhanha,3,2010,1916,1,28380,3.5,3.5,25.91 ,30.9 ,35.56,13.9,56,6,17,12,3,25.1,32.68201609,820.4386203,0.58321113,0.34389505
BA-2010,29,BA,NE,290720,2907202,Casa Nova,2,2010,1917,83,64940,127.8,127.8,24.86 ,37.5 ,34.13,13.7,42,16,17,21,2,30,33.67804886,456.7174604,0.391173097,0.120864973
BA-2010,29,BA,NE,290730,2907301,Castro Alves,4,2010,1918,9,25408,35.4,35.4,22.66 ,30.7 ,39.27,13.2,38,1,15,25,2,23.1,34.02774374,829.302273,0.611355005,0.341935654
BA-2010,29,BA,NE,290740,2907400,Catolândia,3,2010,1919,0,2612,0.0,0.0,25.71 ,28.6 ,25.26,12.5,63,3,1,,0,21.3,30.80376104,931.8219599,0.654294745,0.427347061
BA-2010,29,BA,NE,290750,2907509,Catu,4,2010,1920,74,51077,144.9,144.9,11.12 ,6.4 ,41.19,2.2,16,3,22,50,,17,32.0222719,1481.305059,0.699480579,0.504182514
BA-2010,29,BA,NE,290755,2907558,Caturama,2,2010,1921,40,8843,452.3,452.3,27.88 ,40.2 ,44.3,14.1,73,2,5,2,,23.8,34.23573137,664.367368,0.502315222,0.216386573
BA-2010,29,BA,NE,290760,2907608,Central,2,2010,1922,149,17013,875.8,875.8,20.01 ,11.6 ,43.89,5.0,52,5,19,4,1,31.7,35.90422799,564.9812905,0.427292884,0.125445016
BA-2010,29,BA,NE,290770,2907707,Chorrochó,2,2010,1923,1,10734,9.3,9.3,28.38 ,45.9 ,34.88,21.6,76,4,6,4,0,22.4,33.69815529,468.8987249,0.429191592,0.124227612
BA-2010,29,BA,NE,290780,2907806,Cícero Dantas,2,2010,1924,3,32300,9.3,9.3,32.9 ,16.0 ,36.86,12.0,45,4,14,12,0,34.8,32.53256651,749.3856212,0.631062622,0.384567334
BA-2010,29,BA,NE,290790,2907905,Cipó,2,2010,1925,18,15755,114.2,114.2,23.88 ,18.6 ,34.08,9.9,28,4,8,8,,28.6,33.99734808,840.8061743,0.575936899,0.2946695
BA-2010,29,BA,NE,290800,2908002,Coaraci,4,2010,1926,1,20964,4.8,4.8,23.55 ,7.0 ,41.85,4.4,9,4,10,16,1,25.4,28.67259998,1050.569059,0.7743338,0.604018347
BA-2010,29,BA,NE,290810,2908101,Cocos,3,2010,1927,75,18153,413.2,413.2,24.85 ,39.9 ,30.91,21.1,53,8,8,8,0,18.4,31.8892221,1047.168037,0.519082063,0.244530163
BA-2010,29,BA,NE,290820,2908200,Conceição da Feira,4,2010,1928,12,20391,58.8,58.8,16.05 ,14.1 ,41.78,3.1,36,1,13,8,1,24.6,30.1023315,1085.766508,0.626710394,0.451259583
BA-2010,29,BA,NE,290830,2908309,Conceição do Almeida,4,2010,1929,6,17889,33.5,33.5,20.43 ,32.9 ,30.29,11.6,56,1,14,15,2,18.3,31.59312889,1109.722272,0.656327063,0.457270115
BA-2010,29,BA,NE,290840,2908408,Conceição do Coité,2,2010,1930,163,62040,262.7,262.7,19.84 ,14.8 ,20.27,8.1,42,2,36,46,2,27,35.10819475,551.1539405,0.57574564,0.300904794
BA-2010,29,BA,NE,290850,2908507,Conceição do Jacuípe,4,2010,1931,13,30123,43.2,43.2,12.39 ,10.4 ,53.21,3.2,22,3,18,29,0,19.3,33.30274009,1188.972869,0.653816276,0.436566887
BA-2010,29,BA,NE,290860,2908606,Conde,4,2010,1932,0,23620,0.0,0.0,24.09 ,23.6 ,37.14,16.5,49,5,14,13,,36.3,29.49931191,1444.033203,0.698384502,0.543127662
BA-2010,29,BA,NE,290870,2908705,Condeúba,2,2010,1933,4,16898,23.7,23.7,27.24 ,34.1 ,33.51,11.2,56,4,15,7,2,20.8,30.21342602,739.7181588,0.58366824,0.319677905
BA-2010,29,BA,NE,290880,2908804,Contendas do Sincorá,2,2010,1934,0,4663,0.0,0.0,26.72 ,29.7 ,41.03,12.2,51,4,5,2,,38.6,31.37146105,655.8106669,0.560225029,0.29513306
BA-2010,29,BA,NE,290890,2908903,Coração de Maria,4,2010,1935,54,22401,241.1,241.1,21,53.8 ,30.64,23.2,58,1,13,15,3,25.2,33.36256283,988.6507383,0.659881253,0.424340582
BA-2010,29,BA,NE,290900,2909000,Cordeiros,4,2010,1936,1,8168,12.2,12.2,25.55 ,29.3 ,47.59,11.3,69,7,4,10,2,25.1,30.79514372,750.178177,0.562027248,0.298001745
BA-2010,29,BA,NE,290910,2909109,Coribe,3,2010,1937,40,14307,279.6,279.6,28.37 ,19.0 ,40.08,7.7,57,5,11,5,2,18,31.0173361,955.1197261,0.606864649,0.354367883
BA-2010,29,BA,NE,290920,2909208,Coronel João Sá,2,2010,1938,14,17066,82.0,82.0,39.29 ,42.5 ,43.34,29.3,59,11,17,4,2,34,36.43666142,638.3528485,0.561383969,0.28696483
BA-2010,29,BA,NE,290930,2909307,Correntina,3,2010,1939,12,31249,38.4,38.4,23.45 ,37.0 ,47.19,17.8,60,8,13,9,2,20.4,32.24585559,1063.889367,0.554468065,0.293521499
BA-2010,29,BA,NE,290940,2909406,Cotegipe,3,2010,1940,3,13636,22.0,22.0,29.84 ,36.0 ,39.91,20.1,51,3,5,4,1,28.1,34.16681999,908.0362066,0.591023427,0.333269713
BA-2010,29,BA,NE,290950,2909505,Cravolândia,4,2010,1941,0,5041,0.0,0.0,27.78 ,21.0 ,49.95,12.1,37,1,7,6,,24.8,29.31697701,873.9143963,0.684847126,0.481583115
BA-2010,29,BA,NE,290960,2909604,Crisópolis,2,2010,1942,3,20046,15.0,15.0,30.66 ,22.9 ,43.93,13.3,57,3,8,7,2,24.8,32.81123185,933.4453894,0.605727963,0.347271653
BA-2010,29,BA,NE,290970,2909703,Cristópolis,3,2010,1943,138,13280,1039.2,1039.2,30.2 ,14.7 ,25.24,8.6,76,5,7,1,1,24.6,31.53792071,949.8653602,0.641841831,0.409682716
BA-2010,29,BA,NE,290980,2909802,Cruz das Almas,4,2010,1944,7,58606,11.9,11.9,11.79 ,12.0 ,42.29,4.5,15,4,52,60,4,19.8,31.71758708,1047.48126,0.629209494,0.41535558
BA-2010,29,BA,NE,290990,2909901,Curaçá,2,2010,1945,62,32168,192.7,192.7,24.66 ,33.7 ,53.37,15.1,57,10,14,8,5,22.5,34.62078559,430.9350671,0.406824323,0.084436378
BA-2010,29,BA,NE,291000,2910008,Dário Meira,4,2010,1946,49,12836,381.7,381.7,34.07 ,30.3 ,24.11,18.1,60,2,7,5,1,23.7,28.58267454,784.1356161,0.75951795,0.582654483
BA-2010,29,BA,NE,291005,2910057,Dias d'Ávila,4,2010,1947,30,66440,45.2,45.2,8.21 ,2.5 ,38.49,0.6,6,12,27,75,1,17.5,31.76016502,2061.542552,0.574811893,0.427386208
BA-2010,29,BA,NE,291010,2910107,Dom Basílio,2,2010,1948,67,11355,590.0,590.0,23.79 ,40.6 ,35.37,18.2,80,2,10,8,,21.7,34.78145357,539.8248094,0.456483843,0.155873403
BA-2010,29,BA,NE,291020,2910206,Dom Macedo Costa,4,2010,1949,10,3874,258.1,258.1,20.79 ,45.6 ,32.01,17.8,55,2,4,5,,19.9,31.91525088,1274.412722,0.654492119,0.456983163
BA-2010,29,BA,NE,291030,2910305,Elísio Medrado,4,2010,1950,1,7947,12.6,12.6,25.43 ,19.6 ,42.7,4.9,59,2,7,2,,22.8,31.29610415,857.3889565,0.640167284,0.444495796
BA-2010,29,BA,NE,291040,2910404,Encruzilhada,4,2010,1951,4,23766,16.8,16.8,32.76 ,34.7 ,41.36,18.3,78,13,14,6,0,26.7,29.46022359,840.9167475,0.664571295,0.422752402
BA-2010,29,BA,NE,291050,2910503,Entre Rios,4,2010,1952,20,39872,50.2,50.2,18.07 ,17.7 ,33.88,9.9,40,5,20,50,7,21.4,29.80639084,1389.304277,0.722738487,0.548439326
